,5,10,50,100
EHO,"[1.2550124035192336, 0.00496758187552192]","[2.546429221313632, 0.014951915268160445]","[13.507736319219001, 0.09344631000601372]","[27.516919411489994, 0.1766531868379081]"
SA,"[1.299147867449232, 0.008319404021400566]","[2.7941287646631787, 0.045404614212074625]","[18.888528858919344, 0.281192844086751]","[46.0923005338939, 1.0574873045619857]"
GWO,"[1.25, 0.0]","[2.5, 1.6215845185301646e-16]","[12.5, 4.586533637279208e-16]","[25.0, 6.486338074120658e-16]"
HHO,"[1.25, 0.0]","[2.5, 0.0]","[12.5, 0.0]","[25.0, 0.0]"
PSO,"[1.2510180771507577, 0.0032387359377898505]","[79.59228626746837, 64.40445720918424]","[1384.4540497024186, 169.77166663548877]","[3282.346181658185, 331.2813006627212]"
WOH,"[1.25, 1.6215845185301646e-16]","[2.5, 3.0337068460183277e-16]","[12.5, 1.1234667099445444e-15]","[25.0, 2.7519201823675253e-15]"
HC,"[1.2504393023766012, 0.00011334638686725353]","[2.502040020608422, 0.000264933537449564]","[1047.9358435766478, 8.35763049090936]","[3674.086224400693, 15.37110060006146]"
