,5,10,50,100
EHO,"[2.1538652570163396e-05, 1.6115575627808078e-05]","[0.002337989799571428, 0.0010625055004854318]","[0.21855987325240644, 0.03741345044067975]","[0.9090287628296476, 0.19375700761752587]"
SA,"[0.0008755581140425818, 0.00035824511180727685]","[0.022014475510005346, 0.005974846194460166]","[3.792733784081285, 0.46593932309961544]","[57.847952664992675, 7.668733175043442]"
GWO,"[5.5472312197437966e-05, 0.00013121787912892492]","[0.7693612474223296, 1.2465704798210242]","[729.868793107907, 207.6193770371901]","[3650.860939273586, 1324.1883080965492]"
HHO,"[6.3198011520536725e-49, 2.8183019779585535e-48]","[6.797754560696186e-45, 3.6260467383041346e-44]","[6.409932020242332e-37, 3.361938327420618e-36]","[1.5194680907344244e-33, 7.430691472460695e-33]"
PSO,"[10.55555650431162, 21.293075271955765]","[120.71494724279628, 41.39029861502062]","[2199.162968703298, 554.6975694075782]","[8696.278401616222, 2073.351038070447]"
WOH,"[0.25105768428218916, 0.3515681343335601]","[36.463408645195884, 25.297967912910295]","[3936.6648017618895, 830.0243280828826]","[17311.58203030381, 4045.6656665840396]"
HC,"[6.887255530334939e-08, 2.859723502338776e-08]","[0.43758636140024726, 0.12005809386672156]","[1293.9214104504017, 35.424336533168024]","[6387.09630627053, 214.73972069739204]"
