,5,10,50,100
EHO,"[1.0073523955915025e-06, 7.378671354952237e-07]","[3.7185073929320765e-05, 1.5849043008718847e-05]","[0.001128260304147081, 0.00013921899033873534]","[0.0019679524754562657, 0.00020176078130317845]"
SA,"[0.17904327637937734, 0.22966224383589498]","[0.2835058355661877, 0.06064408891970472]","[0.036991257621264116, 0.005631303620091924]","[0.08715952839584219, 0.005743918498702307]"
GWO,"[0.026489496483052318, 0.03846065758060292]","[0.04871819485817251, 0.0707582929904779]","[0.0, 0.0]","[0.0, 0.0]"
HHO,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
PSO,"[0.2921347029930738, 0.09223502615906777]","[0.6867496004149028, 0.13410730740369542]","[1.3298821225006776, 0.05313029673523494]","[1.731214556387749, 0.07273133308130993]"
WOH,"[0.0868603212392453, 0.07652011361900625]","[0.08938596502465218, 0.11884788912200338]","[0.0012245280855699352, 0.006594285551758981]","[0.0007668512915153913, 0.004129620587374287]"
HC,"[0.3880861355371276, 0.1447512135547043]","[0.2581818987348307, 0.05506377704213677]","[1.2371802144044404, 0.0011617146050490665]","[1.8494796300624219, 0.0028448283190395476]"
